Cython,NumPy
68588000,197544000
66144800,193731900
66020500,195087400
67573200,196625000
64634900,210972800
64832300,196974100
65783800,192325700
64702600,197098800
64208000,192286900
71519300,194217700
66536200,209694400
65043900,192132900
66890900,197604900
64951500,193329300
64828500,192431000
65432000,194292900
65286900,192309800
71179800,193202600
75038600,194939700
78512800,191964700
66565400,193964300
70210000,192356500
65641000,192565000
64790400,195606100
71339900,191651100
68877800,192496900
71848400,193994400
66346700,193110100
65160400,195697800
64818600,194606100
64720500,194484000
64025000,193600600
66241700,192276600
65159400,194999000
64989000,193584800
64554900,192656300
65156900,193409700
64596600,193843500
64664600,194948500
69473400,193030100
67212600,193243000
64863200,192477300
65589200,193923500
65653100,192921900
64664300,194205800
64892100,193460600
65220100,192485700
64747700,192435000
66871300,193974200
65460100,194195000
65161200,192970200
64767000,192974400
64901200,192264500
64939200,194156900
67450400,194555900
68319800,192293600
66160100,193631500
66048700,192576000
65153600,192355200
64192600,195669200
64307700,192958600
64336100,193135900
64419100,193074600
64303400,192532200
65186200,195778800
65127400,192542600
64311000,192736900
64733200,204365100
64362000,203570100
64452800,220012200
68778900,191979400
64598600,192522700
65263600,193002900
66178800,192836700
64541000,195530600
64849900,193952400
64467200,192463100
64627400,191901400
64973400,193690300
64655800,194637000
64325900,193362900
67477500,192443100
64956200,192351700
64535300,193682400
64419400,193290300
67899900,194249400
65819400,193274300
65604600,192432400
65571300,192143900
66367200,193763800
64439800,194450900
64602800,193815000
64985000,192627600
64749800,191880300
65332800,193661200
65934000,194343500
64967300,192692500
66344400,193834200
64825000,191696400
64648000,193478900
65363800,195482900
68695300,192839700
65449500,193040200
65575000,191923700
64688700,192288900
66031500,196357900
64847500,192240900
64638400,192290200
65114400,193833800
64607000,192560800
65299100,193347600
65030600,193847100
64523300,192868500
66138400,193116100
64574600,193669900
64780700,192462100
68958300,195478300
65232100,192291500
64664500,192478000
65076000,193312800
64834800,192759200
66110400,195367800
64571800,192806900
64100400,192579900
64012100,192959700
64351900,193137200
64673400,194468900
64042600,194168500
64291400,192077100
65036400,192234300
65579600,194039300
66506100,194666100
66460200,192482100
64872000,194146100
64787000,192239500
64553500,194205800
64435100,200841500
64604900,194648500
65257200,194224400
64452200,192476500
64540200,192260700
64425500,193804000
64500000,194307300
64366300,193866500
64731400,192724000
64546400,191907200
65507800,193560400
68599300,195137800
64521000,192049300
65446000,193722000
64808300,191816100
64266700,192776700
64366100,196137700
64251200,192517000
65990400,193690600
64363700,192143100
64053900,193165300
64352700,195543000
64311600,192200800
64540100,192821700
64227100,192819000
64155100,192481400
68087000,194438500
65592100,193271200
64602600,192815300
65416400,193717700
64040600,191918400
64280400,194423700
64316700,194457100
64804400,192616600
65159700,192281100
64628100,194078200
64442100,195639400
64724800,195240900
64583700,193210400
64412700,192482500
64157100,192719600
63968000,192453500
68583200,194949500
65674100,193330600
65229900,192359300
63994000,191553900
64382600,194554400
64337300,195896500
64307800,193209400
64178400,194224200
64252100,193271200
65885100,194157500
65283900,195916800
64589800,192960600
64363800,194162200
64276100,192578200
64305400,191989100
68070100,196467900
65364200,198072300
65425100,194512700
64769000,192529800
64632500,192171000
64251200,194740500
64586400,194410600
64032700,192276000
64547100,193639500
64626900,192108900
65633400,193292300
64419400,196564900
64388800,192739400
64249000,193918600
64179400,192889500
64517500,193222300
68947500,194947800
64796900,192273700
66078300,192760100
64566900,193767000
64259400,192299300
64142100,194447400
64102900,193516800
64448900,193259500
64112700,193368500
64489200,192439500
65180700,194695500
64964800,193798700
64450900,193612000
64199800,193203900
64229200,193857000
68404200,192504300
64570300,195299600
65281100,192782600
64946100,192640900
65044400,193071400
64451300,192450200
64215600,195126900
64674700,194398300
64701100,192323300
64373700,192715600
64262100,193892300
64703400,194612000
65319900,192527100
64426500,193644400
64199600,192932500
66783700,193493100
66514800,195127100
64502400,192243700
65250100,193759500
64215500,192321900
65761000,192241600
64503800,196104400
64351500,192924000
64207400,193452500
64306400,192823900
64294800,192367200
64436900,193684000
64764900,195232000
65879100,192523400
64384100,193474300
64011700,191961100
68775600,192580000
64520100,195457400
65167900,192210800
64537300,193201700
64260400,193332200
66052300,192071100
64839100,195800400
64519800,191724900
64682700,192161300
64434100,193804700
64871100,192702400
64684900,194464900
64763600,193885500
65156000,192116300
65252300,193859000
68197500,192977900
65540800,194648300
64908600,198564000
65039200,192608800
64710400,193119200
65161000,193484200
65877900,193837900
65025500,193617900
64445900,193273700
65210500,192471600
64971300,192947600
64356700,192312900
65641300,194914400
70294300,194277100
77980200,197374400
80016900,193069200
77836800,193117000
71265400,193970700
64634400,192385400
64646100,193013600
64353200,197997300
64245600,193706300
66633100,195454700
64737300,192711900
65181200,193343800
64131800,192690600
64413700,192595600
64421100,196680300
64582800,192414500
64320500,193227800
69084900,193409600
65565600,193224000
64357900,195078800
65273500,193033200
64348000,192267100
64416500,193577400
64407900,193150300
64438000,193461400
65360500,194635700
64796100,192026500
64220700,192953800
64296900,193073300
64662200,192656400
64432300,195952100
63987400,192364400
64495300,191915000
70332000,194204900
65193200,192231500
65457200,194973300
64891600,194055600
64964400,192297200
64253700,193370800
65359900,193256400
64985500,194839900
65230900,193569900
65771700,192579900
64530300,191938600
64761300,193706600
64462400,194446200
64302700,192217600
64304800,193486500
68293000,192258500
65615400,193957300
66264300,194075000
64304800,193231000
64089600,193704600
64695000,191735600
64699500,193078900
65338500,193463600
64151900,195067400
64460600,192216200
65866200,193489100
64396300,193292000
64256300,193361000
64162900,194792700
64185500,192608100
65033100,193579900
69087100,192898500
64224800,192548200
66234900,195718900
64776800,192627800
64676300,193763800
64952900,193431800
64876700,192988100
65135100,195861500
65414100,193604000
65766900,192288900
66092900,194573400
64709500,192927700
64880200,194361600
64748500,195859400
64591300,192572000
68854700,193901100
65198600,194069800
65119900,192997400
66243500,196784500
64758400,192739600
64534600,192682500
64591700,194385700
64809700,192179200
65003800,194429100
64864500,193814400
64825800,191751700
65527200,193915700
65239500,192972900
64730500,194408300
64579400,195056000
67227500,207778300
66562000,210729200
67341600,194031200
65160400,194982200
65381300,192485900
65666200,194276900
64518900,192285300
64804400,193774200
65029000,194308200
64858600,192267100
64799500,193577000
64381700,192824100
65163200,192670900
65494000,195657200
64604700,192362100
64724100,193876400
70123800,193220000
65379100,192878500
65322900,194122300
64837900,193835500
65501800,192856200
65468500,193531800
64940300,192992100
64694500,192865300
64664900,194926600
65015000,192382700
64899500,193154400
65135500,191880200
65145300,192291500
65652200,195618200
64451600,192601900
69076200,192452600
65323600,194184400
64976100,192958900
64655700,195246300
64596100,193492200
64801100,191992900
66155400,193369700
65004700,193001400
64695100,192822000
64665100,194273100
65099500,192093200
64702000,192111800
64492500,193784500
64380100,194564300
65984100,192900500
68517200,193485000
65271500,192561400
65319300,194332900
64836600,192875800
64561600,194605300
65085200,194530400
65009600,192256600
65969500,192019000
64738000,193778500
64969700,194383200
65115200,192669800
